"filename", "language", "JSON", "XML", "JavaScript", "YAML", "PostCSS", "Markdown", "Handlebars", "HTML", "SCSS", "comment", "blank", "total"
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\module\sheets\active-effect-config.mjs", "JavaScript", 0, 0, 39, 0, 0, 0, 0, 0, 0, 10, 10, 59
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\module\sheets\character-sheet.mjs", "JavaScript", 0, 0, 1157, 0, 0, 0, 0, 0, 0, 315, 108, 1580
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\module\sheets\colony-sheet.mjs", "JavaScript", 0, 0, 493, 0, 0, 0, 0, 0, 0, 319, 77, 889
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\module\sheets\creature-sheet.mjs", "JavaScript", 0, 0, 484, 0, 0, 0, 0, 0, 0, 229, 62, 775
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\module\sheets\item-sheet.mjs", "JavaScript", 0, 0, 630, 0, 0, 0, 0, 0, 0, 246, 61, 937
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\module\sheets\planet-sheet.mjs", "JavaScript", 0, 0, 323, 0, 0, 0, 0, 0, 0, 243, 53, 619
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\module\sheets\spacecraft-sheet.mjs", "JavaScript", 0, 0, 1183, 0, 0, 0, 0, 0, 0, 365, 118, 1666
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\module\sheets\synthetic-sheet.mjs", "JavaScript", 0, 0, 1153, 0, 0, 0, 0, 0, 0, 296, 107, 1556
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\module\sheets\territory-sheet.mjs", "JavaScript", 0, 0, 397, 0, 0, 0, 0, 0, 0, 275, 62, 734
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\module\sheets\vehicle-sheet.mjs", "JavaScript", 0, 0, 1092, 0, 0, 0, 0, 0, 0, 358, 111, 1561
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\module\utils\_module.mjs", "JavaScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\module\utils\enrich-html.mjs", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 10, 2, 19
"c:\Users\paulw\OneDrive\Documents\Development\AlienRPG Module Developemt\alienrpg\module\utils\formula-field.mjs", "JavaScript", 0, 0, 42, 0, 0, 0, 0, 0, 0, 22, 14, 78
